city,date,hour,temperature_c,pressure_mm,is_rain
Новосибирск,2024-03-03,3,-13,753,0
Новосибирск,2024-03-03,4,-14,754,0
Новосибирск,2024-03-03,5,-14,753,0
Новосибирск,2024-03-03,6,-15,752,0
Новосибирск,2024-03-03,7,-17,754,0
Новосибирск,2024-03-03,8,-17,752,0
Новосибирск,2024-03-03,9,-17,752,0
Новосибирск,2024-03-03,10,-15,754,0
Новосибирск,2024-03-03,11,-13,752,0
Новосибирск,2024-03-03,12,-11,752,0
Новосибирск,2024-03-03,13,-10,753,0
Новосибирск,2024-03-03,14,-9,751,0
Новосибирск,2024-03-03,15,-8,750,0
Новосибирск,2024-03-03,16,-7,752,0
Новосибирск,2024-03-03,17,-7,750,0
Новосибирск,2024-03-03,18,-7,749,0
Новосибирск,2024-03-03,19,-7,751,0
Новосибирск,2024-03-03,20,-7,749,0
Новосибирск,2024-03-03,21,-8,749,0
Новосибирск,2024-03-03,22,-8,751,0
Новосибирск,2024-03-03,23,-8,749,0
Новосибирск,2024-03-04,0,-8,748,0
Новосибирск,2024-03-04,1,-8,750,0
Новосибирск,2024-03-04,2,-8,748,0
Новосибирск,2024-03-04,3,-8,747,0
Новосибирск,2024-03-04,4,-8,749,0
Новосибирск,2024-03-04,5,-8,746,0
Новосибирск,2024-03-04,6,-8,746,0
Новосибирск,2024-03-04,7,-8,747,0
Новосибирск,2024-03-04,8,-8,745,0
Новосибирск,2024-03-04,9,-8,745,0
Новосибирск,2024-03-04,10,-8,747,0
Новосибирск,2024-03-04,11,-7,745,0
Новосибирск,2024-03-04,12,-7,745,0
Новосибирск,2024-03-04,13,-7,747,0
Новосибирск,2024-03-04,14,-6,745,0
Новосибирск,2024-03-04,15,-6,745,0
Новосибирск,2024-03-04,16,-6,748,0
Новосибирск,2024-03-04,17,-5,746,0
Новосибирск,2024-03-04,18,-5,746,0
Новосибирск,2024-03-04,19,-5,748,0
Новосибирск,2024-03-04,20,-5,747,0
Новосибирск,2024-03-04,21,-5,747,0
Новосибирск,2024-03-04,22,-5,749,0
Новосибирск,2024-03-04,23,-5,747,0
Новосибирск,2024-03-05,0,-5,747,0
Новосибирск,2024-03-05,1,-4,750,0
Новосибирск,2024-03-05,2,-4,748,0
Новосибирск,2024-03-05,3,-4,748,0
Новосибирск,2024-03-05,4,-4,750,0
